,id,description,latitude,longitude,stationDataOriginList
31,35,AES - Punilla,-26.01,-65.82,"[{'id': 8, 'externalStationId': 'Punilla', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 1, 'description': 'AES'}, 'defaultUnit': None}, {'id': 69, 'externalStationId': '', 'dimension': {'id': 2, 'description': 'caudal', 'preferredUnit': {'id': 5, 'alias': 'm3/sec', 'description': 'm3/sec'}}, 'dataOrigin': {'id': 7, 'description': 'HQ_model'}, 'defaultUnit': {'id': 5, 'alias': 'm3/sec', 'description': 'm3/sec'}}]"
32,37,AES - ET,-25.2287507835,-64.4771146654,"[{'id': 13, 'externalStationId': 'Tunal', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 1, 'description': 'AES'}, 'defaultUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, {'id': 14, 'externalStationId': 'Tunal', 'dimension': {'id': 2, 'description': 'caudal', 'preferredUnit': {'id': 5, 'alias': 'm3/sec', 'description': 'm3/sec'}}, 'dataOrigin': {'id': 1, 'description': 'AES'}, 'defaultUnit': {'id': 5, 'alias': 'm3/sec', 'description': 'm3/sec'}}]"
33,38,AES - Miraflores,-25.31,-64.85,"[{'id': 4, 'externalStationId': 'Miraflores', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 1, 'description': 'AES'}, 'defaultUnit': None}, {'id': 71, 'externalStationId': '', 'dimension': {'id': 2, 'description': 'caudal', 'preferredUnit': {'id': 5, 'alias': 'm3/sec', 'description': 'm3/sec'}}, 'dataOrigin': {'id': 7, 'description': 'HQ_model'}, 'defaultUnit': {'id': 5, 'alias': 'm3/sec', 'description': 'm3/sec'}}]"
34,39,AES - CC,-25.27,-65.33,"[{'id': 10, 'externalStationId': 'CabraCorral', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 1, 'description': 'AES'}, 'defaultUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}]"
35,40,Weather Underground - Daza Copo Quile,-26.01,-64.69,"[{'id': 27, 'externalStationId': 'IROSAR45', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 2, 'description': 'WeatherUnderground'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
36,41,INTA - Hornillos,-23.66,-65.43,"[{'id': 30, 'externalStationId': '488', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 3, 'description': 'INTA'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
37,42,INTA - Palma Sola,-23.98,-64.3,"[{'id': 31, 'externalStationId': '395', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 3, 'description': 'INTA'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
38,43,INTA - El Potrero,-23.47,-64.38,"[{'id': 32, 'externalStationId': '415', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 3, 'description': 'INTA'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
39,44,INTA - Andalgala,-27.61,-66.33,"[{'id': 33, 'externalStationId': '393', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 3, 'description': 'INTA'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
40,45,INTA - Famailla,-27.02,-65.38,"[{'id': 34, 'externalStationId': '348', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 3, 'description': 'INTA'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
41,46,INTA - Abra Pampa,-22.8,-65.83,"[{'id': 35, 'externalStationId': '516', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 3, 'description': 'INTA'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
42,16,AES - Medina,-25.3858,-64.5927,"[{'id': 7, 'externalStationId': 'Medina', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 1, 'description': 'AES'}, 'defaultUnit': None}]"
43,36,AES - Medina,-25.3859,-64.5922,"[{'id': 6, 'externalStationId': 'Medina', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 1, 'description': 'AES'}, 'defaultUnit': None}, {'id': 70, 'externalStationId': '', 'dimension': {'id': 2, 'description': 'caudal', 'preferredUnit': {'id': 5, 'alias': 'm3/sec', 'description': 'm3/sec'}}, 'dataOrigin': {'id': 7, 'description': 'HQ_model'}, 'defaultUnit': {'id': 5, 'alias': 'm3/sec', 'description': 'm3/sec'}}]"
44,48,Weather Underground - Dante Alighieri UCASAL MATTEO,-24.79,-65.42,"[{'id': 36, 'externalStationId': 'ISALTA13', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 2, 'description': 'WeatherUnderground'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
45,49,INTA - Parque del Bicentenario,-24.73,-65.416111,"[{'id': 37, 'externalStationId': 'ema_bicentenario', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 5, 'description': 'INTA_Anterior'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
46,50,INTA - Olleros,-25.1163889,-64.225277,"[{'id': 38, 'externalStationId': 'ema_olleros', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 5, 'description': 'INTA_Anterior'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
47,51,INTA - El Brete - SPMF,-24.2372222,-65.183333,"[{'id': 39, 'externalStationId': 'ema_spmf', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 5, 'description': 'INTA_Anterior'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
48,52,INTA - La Viña,-25.4725,-65.567777,"[{'id': 40, 'externalStationId': 'ema_lavina', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 5, 'description': 'INTA_Anterior'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
49,53,INTA - DESDELSUR,-22.5313889,-63.515555,"[{'id': 41, 'externalStationId': 'ema_desdeelsur', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 5, 'description': 'INTA_Anterior'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
50,54,INTA - Yatasto,-25.6019444,-64.968888,"[{'id': 42, 'externalStationId': 'ema_yatasto', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 5, 'description': 'INTA_Anterior'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
51,55,INTA - Cerrillos,-24.8941667,-65.470833,"[{'id': 43, 'externalStationId': 'ema_cerrillos', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 5, 'description': 'INTA_Anterior'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
52,56,INTA - Escuela de Educación Técnica Nro. 3167,-24.7438889,-64.249444,"[{'id': 44, 'externalStationId': 'ema_esca3167', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 5, 'description': 'INTA_Anterior'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
53,57,INTA - El Galpón,-25.3797222,-64.638888,"[{'id': 45, 'externalStationId': 'ema_elgalpon', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 5, 'description': 'INTA_Anterior'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
54,58,INTA - UC6-CDA Rosario de Lerma,-24.9880556,-65.585833,"[{'id': 46, 'externalStationId': 'ema_rlerma', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 5, 'description': 'INTA_Anterior'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
55,59,INTA - Bodegas Etchart,-26.1,-65.973888,"[{'id': 47, 'externalStationId': 'ema_etchart', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 5, 'description': 'INTA_Anterior'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
56,60,Weather Underground - Escuela S Agustín UCASAL MATTEO,-26.092266,-66.012908,"[{'id': 50, 'externalStationId': 'ICAFAY1', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 2, 'description': 'WeatherUnderground'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
57,61,SNIH - Güemes,-24.687527,-65.043638,"[{'id': 51, 'externalStationId': '10687', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 6, 'description': 'SNIH'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, {'id': 52, 'externalStationId': '10687', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 6, 'description': 'SNIH'}, 'defaultUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}]"
58,62,SNIH - Fraile Pintado - RN 34,-23.909444,-64.808055,"[{'id': 53, 'externalStationId': '10036', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 6, 'description': 'SNIH'}, 'defaultUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}]"
59,63,SNIH - Cachi,-25.120525,-66.159161,"[{'id': 54, 'externalStationId': '10646', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 6, 'description': 'SNIH'}, 'defaultUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}]"
60,64,SNIH - El Encon,-24.842305,-65.59325,"[{'id': 55, 'externalStationId': '10701', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 6, 'description': 'SNIH'}, 'defaultUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}]"
61,65,SNIH - La Maroma,-25.153888,-65.42,"[{'id': 56, 'externalStationId': '10706', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 6, 'description': 'SNIH'}, 'defaultUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, {'id': 72, 'externalStationId': '', 'dimension': {'id': 2, 'description': 'caudal', 'preferredUnit': {'id': 5, 'alias': 'm3/sec', 'description': 'm3/sec'}}, 'dataOrigin': {'id': 7, 'description': 'HQ_model'}, 'defaultUnit': {'id': 5, 'alias': 'm3/sec', 'description': 'm3/sec'}}]"
62,66,SNIH - Cabra Corral,-25.271944,-65.329722,"[{'id': 57, 'externalStationId': '10622', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 6, 'description': 'SNIH'}, 'defaultUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}]"
63,67,SNIH - Metán - Desembocadura,-25.393333,-64.592222,"[{'id': 58, 'externalStationId': '10705', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 6, 'description': 'SNIH'}, 'defaultUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, {'id': 73, 'externalStationId': '', 'dimension': {'id': 2, 'description': 'caudal', 'preferredUnit': {'id': 5, 'alias': 'm3/sec', 'description': 'm3/sec'}}, 'dataOrigin': {'id': 7, 'description': 'HQ_model'}, 'defaultUnit': {'id': 5, 'alias': 'm3/sec', 'description': 'm3/sec'}}]"
64,68,SNIH - El Tunal,-25.226666,-64.476944,"[{'id': 59, 'externalStationId': '10626', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 6, 'description': 'SNIH'}, 'defaultUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, {'id': 75, 'externalStationId': '', 'dimension': {'id': 2, 'description': 'caudal', 'preferredUnit': {'id': 5, 'alias': 'm3/sec', 'description': 'm3/sec'}}, 'dataOrigin': {'id': 7, 'description': 'HQ_model'}, 'defaultUnit': {'id': 5, 'alias': 'm3/sec', 'description': 'm3/sec'}}]"
65,69,SNIH - Canal Finca Agropecuaria I,-25.160811,-64.106011,"[{'id': 60, 'externalStationId': '10684', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 6, 'description': 'SNIH'}, 'defaultUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}]"
66,70,SNIH - Finca Agropecuaria,-25.161388,-64.106166,"[{'id': 61, 'externalStationId': '10686', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 6, 'description': 'SNIH'}, 'defaultUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}]"
67,71,SNIH - Juramento - El Quebrachal,-25.343888,-64.045555,"[{'id': 62, 'externalStationId': '10695', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 6, 'description': 'SNIH'}, 'defaultUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}]"
68,72,SNIH - Canal Liag - El Quebrachal,-25.360688,-64.022402,"[{'id': 63, 'externalStationId': '10696', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 6, 'description': 'SNIH'}, 'defaultUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}]"
69,73,SNIH - Canal Macapillo,-25.41348,-63.976155,"[{'id': 64, 'externalStationId': '10699', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 6, 'description': 'SNIH'}, 'defaultUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}]"
70,74,SNIH - Canal de Dios,-25.610777,-63.948058,"[{'id': 65, 'externalStationId': '10815', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 6, 'description': 'SNIH'}, 'defaultUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}]"
71,75,SNIH - La Punilla,-26.011919,-65.823113,"[{'id': 66, 'externalStationId': '10611', 'dimension': {'id': 1, 'description': 'nivel', 'preferredUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, 'dataOrigin': {'id': 6, 'description': 'SNIH'}, 'defaultUnit': {'id': 2, 'alias': 'm', 'description': 'metro'}}, {'id': 74, 'externalStationId': '', 'dimension': {'id': 2, 'description': 'caudal', 'preferredUnit': {'id': 5, 'alias': 'm3/sec', 'description': 'm3/sec'}}, 'dataOrigin': {'id': 7, 'description': 'HQ_model'}, 'defaultUnit': {'id': 5, 'alias': 'm3/sec', 'description': 'm3/sec'}}]"
72,76,AES - El Tunal,-25.22,-64.47,"[{'id': 68, 'externalStationId': 'Tunal', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 1, 'description': 'AES'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
